,Alert,Date,Time,Lat,Long,Vehicle,Speed,Likelihood of Collision,likely_collision,not_likely_collision,Head-on collision,Rear-end collision,Side-impact collision,Pedestrian collision,Multi-vehicle collision,Hit-and-run collision,Wrong-way collision
0,2,6/1/2022,5:36:36,12.887403,80.083412,2846,48,0.5715316294442995,1,0,0,0,0,0,0,0,0
1,2,6/1/2022,5:36:47,12.892586,80.085794,2846,58,0.3933182896027182,0,1,0,0,0,0,0,0,0
2,2,6/1/2022,5:37:04,12.894932,80.087564,2846,57,0.41470536104829026,0,1,0,0,0,0,0,0,0
3,2,6/1/2022,5:37:31,12.898267,80.090062,2846,49,0.5664817582926324,1,0,0,0,0,0,0,0,0
4,2,6/1/2022,5:38:08,12.901594,80.092538,2846,58,0.40373664483388216,0,1,0,0,0,0,0,0,0
5,2,6/1/2022,5:38:21,12.903877,80.094272,2846,54,0.4817757797456188,0,1,0,0,0,0,0,0,0
6,2,6/1/2022,5:38:41,12.906194,80.095953,2846,58,0.40908900983275115,0,1,0,0,0,0,0,0,0
7,2,6/1/2022,5:40:21,12.915664,80.103135,2846,62,0.3464310542390043,0,1,0,0,0,0,0,0,0
8,2,6/1/2022,5:41:17,12.918451,80.109058,2846,51,0.5530696316779321,1,0,0,0,0,0,0,0,0
9,2,6/1/2022,5:41:25,12.919239,80.110028,2846,47,0.6212614928230651,1,0,0,0,0,0,0,0,0
10,2,6/1/2022,5:41:58,12.923053,80.114106,2846,57,0.44662178169721667,0,1,0,0,0,0,0,0,0
11,1,6/1/2022,5:43:03,12.92877,80.119872,2846,42,0.6983588299169391,1,0,0,0,0,0,0,0,0
12,1,6/1/2022,5:44:06,12.932561,80.123647,2846,38,0.7402942438502419,1,0,0,0,0,0,0,0,0
13,1,6/1/2022,5:45:13,12.936615,80.127451,2846,27,0.7755912498919795,1,0,0,0,0,0,0,0,0
14,2,6/1/2022,6:04:38,12.957073,80.14356,2846,39,0.7473013697495179,1,0,0,0,0,0,0,0,0
